State,C0 (A),C0 (A) uncertainty,C1 (B),C1 (B) uncertainty,C2 (A'),C2 (A') uncertainty,C3 (B'),C3 (B') uncertainty,C4,C4 uncertainty,C5,C5 uncertainty,C6,C6 uncertainty,C7,C7 uncertainty
HV,40240.84,38.3061648650275,9664.56,22.792840981325696,0.0,0.0,20304.0,23.32216399336334,12.88,0.5043808085167396,0.0,0.0,1264.0,7.645477966310106,0.0,0.0
VV,9068.76,20.589259335877042,9682.32,23.005848531768326,0.0,0.0,20312.8,22.53678474553694,382.56,3.2995353208191807,0.0,0.0,7.88,0.497728172131469,0.0,0.0
RV,23971.68,30.51965050040165,9700.56,19.25375114966778,0.0,0.0,20263.72,36.142243058965406,208.28,3.167817334801151,0.0,0.0,565.96,4.859176885028985,0.0,0.0
LV,23959.32,33.97012020388898,9687.28,20.449166242172318,0.0,0.0,20250.64,24.646222158105015,213.28,3.0487811772356945,0.0,0.0,636.24,4.5233763201101596,0.0,0.0
LL,24032.52,34.23892132257284,27050.6,32.60930337597947,0.0,0.0,12330.6,16.781239525136392,267.08,3.4932888037874377,0.0,0.0,611.6,4.303874223688854,0.0,0.0
RL,23979.04,31.71941991903383,26985.84,30.062417290253514,0.0,0.0,12261.88,25.001287966822833,1146.04,6.543057389324962,0.0,0.0,111.36,1.7577258034175867,0.0,0.0
VL,9092.76,18.121927785604562,26982.64,25.34974556085327,0.0,0.0,12258.92,20.15051033266073,188.72,2.4956762610563095,0.0,0.0,103.88,2.01272617776653,0.0,0.0
HL,40385.92,46.07215066248446,27041.4,35.76898097514102,0.0,0.0,12268.24,28.805629079516148,1329.84,8.325599077543911,0.0,0.0,621.72,5.524346115152453,0.0,0.0
DL,23950.2,36.24182666478057,27064.32,36.65095360287369,0.0,0.0,12292.0,25.57544395183265,838.4,6.002777135071177,0.0,0.0,307.72,3.2411520585536664,0.0,0.0
AL,25502.92,35.79529391786952,27014.28,28.857611358761716,0.0,0.0,12274.04,27.793073477637073,679.48,4.66337502959677,0.0,0.0,440.68,4.969480187437448,0.0,0.0
AR,25544.4,20.584784024451974,26922.28,26.73322028238773,0.0,0.0,12137.0,24.016244502419607,832.48,5.67747596501591,0.0,0.0,316.52,4.1925012422975705,0.0,0.0
DR,24014.48,29.914885926575078,26910.52,31.248739707919952,0.0,0.0,12100.48,24.91513061040085,612.12,6.166392786710882,0.0,0.0,436.24,4.0551531002745955,0.0,0.0
HR,40437.72,40.81366274504981,26945.88,41.78685279686263,0.0,0.0,12114.56,25.009936691909743,1251.04,5.008818889385666,0.0,0.0,660.88,6.462022387251016,0.0,0.0
VR,9099.24,20.149133976426874,26964.12,28.72393427091769,0.0,0.0,12138.08,21.832538407920715,202.52,3.416196715647388,0.0,0.0,97.04,1.737315937492852,0.0,0.0
RR,24039.96,28.86661739795641,26870.4,27.502424135579997,0.0,0.0,12171.88,25.272469870064803,208.6,2.8676354952004157,0.0,0.0,558.56,5.218262801610002,0.0,0.0
LR,24026.36,34.94118296032157,26941.0,29.164590402289782,0.0,0.0,12175.4,23.721368706997776,1190.08,6.296009318078662,0.0,0.0,141.76,2.364515454238634,0.0,0.0
