State,C0 (A),C0 (A) uncertainty,C1 (B),C1 (B) uncertainty,C2 (A'),C2 (A') uncertainty,C3 (B'),C3 (B') uncertainty,C4,C4 uncertainty,C5,C5 uncertainty,C6,C6 uncertainty,C7,C7 uncertainty
LL,26529.76,29.23720688893976,28075.12,32.678908590506296,0.0,0.0,13298.64,22.14316147256304,33.6,1.055146119422961,0.0,0.0,762.24,5.040264543321775,0.0,0.0
RL,26675.16,25.826387023094547,28047.84,32.70569165553095,0.0,0.0,13299.96,21.564745921681215,1507.56,7.607470013085823,0.0,0.0,34.88,1.0556514576317317,0.0,0.0
VL,29847.68,34.51640769257427,28010.36,41.70191362515634,0.0,0.0,13335.36,17.302204098514927,832.48,6.833769091797,0.0,0.0,461.32,4.519483746329146,0.0,0.0
HL,24037.48,28.561111089498365,28051.88,32.13364384358964,0.0,0.0,13339.12,21.119210843842314,725.16,7.159534435515576,0.0,0.0,332.32,4.227576137694034,0.0,0.0
DL,27166.44,24.01382102040406,28117.16,34.98974516435732,0.0,0.0,13375.68,24.942181139587607,806.8,4.627094120503709,0.0,0.0,362.12,3.5356847521614063,0.0,0.0
AL,26840.84,26.41929093169106,28034.52,30.55258417875646,0.0,0.0,13310.04,22.68806440987566,722.96,4.02429289855166,0.0,0.0,420.12,3.666206031671797,0.0,0.0
AR,26809.96,32.92347085793558,28188.96,30.922455702396384,0.0,0.0,13080.84,20.60199666698999,808.72,5.906075967453631,0.0,0.0,339.64,4.491057781859414,0.0,0.0
DR,27047.04,37.518061428241914,28192.68,38.852057860556116,0.0,0.0,13040.12,21.457968216958474,747.84,5.136691542228324,0.0,0.0,444.28,3.7481195285102635,0.0,0.0
HR,24016.76,27.114343067830355,28258.36,41.11617200080766,0.0,0.0,13037.84,21.983833454002813,660.56,6.130546468301175,0.0,0.0,363.0,4.060377650744654,0.0,0.0
VR,29876.4,42.11294337849113,28173.4,35.18403994237538,0.0,0.0,13116.28,27.27780049784073,878.24,5.1718081944325816,0.0,0.0,433.68,3.449019184251276,0.0,0.0
RR,26668.52,34.30311550476623,28229.28,35.56006749149951,0.0,0.0,13048.92,24.692773571769266,58.28,1.4938987025007198,0.0,0.0,750.4,5.985538126740709,0.0,0.0
LR,26552.48,29.187161561207006,28201.76,37.88083420411964,0.0,0.0,13076.12,27.62470633328072,1510.2,7.1521558521423,0.0,0.0,26.24,0.9904207859962012,0.0,0.0
